Building,Floor,(Nearest) Room,InBathroom?,FountainType
Student's Union,Lower Ground Floor,3sixty,FALSE,Wall
Student's Union,Ground Floor,Main corridor ,FALSE,Wall
Palmer,Ground Floor,Main corridor ,FALSE,Wall
Library,Ground Floor,Cafe,FALSE,Wall
Henley Business School,Ground Floor,TDG01,FALSE,Wall
Agriculture,Lower Ground Floor,GL10,FALSE,Wall
Agriculture,1st Floor,R1L01,FALSE,Wall
Agriculture,2nd Floor,2L01,FALSE,Wall
Agriculture,Lower Ground Floor,GL15,FALSE,Wall
Meteorology,Lower Ground Floor,GL69,FALSE,Wall
Meteorology,2nd Floor,2L31,FALSE,Wall
Meteorology,3rd Floor,3L32,FALSE,Wall
Meteorology,1st Floor,1L46,FALSE,Room
Psychology ,1st Floor,Reception,FALSE,Plug-In
Psychology ,2nd Floor,264,FALSE,Wall
Psychology ,2nd Floor,225,FALSE,Room
Psychology ,1st Floor,173,FALSE,Room
Chancellors ,Ground Floor,TF1,FALSE,Plug-In
Chancellors,1st Floor,TF2,FALSE,Plug-In
Russel,Ground Floor,17,FALSE,Wall
Whiteknights House,Ground Floor,G.20,FALSE,Plug-In
Minghella,Ground Floor,G08,FALSE,Plug-In
Edith Morley,Ground Floor,TFG09,TRUE,Room
Edith Morley,Ground Floor,TG08,TRUE,Room
Edith Morley,Ground Floor,TG07,TRUE,Room
Edith Morley,Ground Floor,TFG03,TRUE,Room
Edith Morley,Ground Floor,TFG01 ,TRUE,Room
Edith Morley ,2nd Floor,219,TRUE ,Room
Edith Morley ,2nd Floor,250,TRUE ,Room
Edith Morley ,2nd Floor,255,TRUE ,Room
Edith Morley ,1st Floor,155,TRUE ,Room
Edith Morley ,1st Floor,C104,TRUE ,Room
Edith Morley ,1st Floor,TF103,TRUE ,Room
Edith Morley ,1st Floor,TF010,TRUE,Room
Polly Vancher,Ground Floor,G49,FALSE,Plug-In
Math and stats,Ground Floor,G05,FALSE,Wall
Math and stats,Ground Floor,G05,FALSE,Plug In
Math and stats,1st Floor,106,FALSE,Plug-In
Math and Stats ,2nd Floor,207,FALSE,Plug-In
Math and Stats ,3rd Floor,306,FALSE,Plug-In
JJ Thomson,2nd Floor,258,FALSE,Room
Chem and Pharm,Ground Floor,LTG,FALSE,Wall
Chem and Pharm,Ground Floor,LTG,FALSE,Room
Chem and Pharm,1st Floor,158,FALSE,Wall
Chem and Pharm,2nd Floor,258,FALSE,Wall
Library,1st Floor,Laptop Area,FALSE,Wall
