Building,Latitude,Longitude
Agriculture ,51.43848,-0.935978
Chancellors ,51.440253,-0.950017
Chem and Pharm,51.438788,-0.942888
Edith Morley,51.441085,-0.94609
Henley Business School,51.442062,-0.946198
JJ Thomson,51.438965,-0.944417
Library,51.440012,-0.944872
Math and stats,51.438534,-0.944068
Meterology,51.438704,-0.936992
Minghella,51.44169,-0.945162
Palmer,51.441366,-0.94432
Polly Vancher,51.438039,-0.944551
Psychology ,51.439427,-0.936241
Russel,51.439557,-0.949287
Student's Union,51.440607,-0.94336
Whiteknights House,51.44061,-0.947136
